"lat","long","tract"
40.0107452855685,-75.0767057934915,"421010299002006"
39.9597841450412,-75.2406386379108,"421010083022010"
39.9353595634132,-75.2333888456052,"421010065004003"
40.0291495159041,-75.14994611898,"421010281002009"
39.9311285441846,-75.1469393683476,"421010027021001"
39.9228904749208,-75.1626316463353,"421010041013003"
39.9281760016714,-75.1535910467348,"421010027013008"
40.0167721027663,-75.0780579395766,"421010300003005"
40.0247596163276,-75.1258622825881,"421010288003009"
40.0247727124317,-75.1259546551425,"421010288003009"
40.0247492640563,-75.1257698039795,"421010288003009"
39.9755143206665,-75.2100446663939,"421010110002001"
39.9930761681325,-75.1741610388802,"421010169012001"
39.9923279963419,-75.1798665097727,"421010169023018"
39.9243503478758,-75.2396746161301,"421010064003023"
40.0616376025853,-75.1609817594737,"421010264004003"
39.9535741948533,-75.2495355821957,"421010083013002"
39.9793949156391,-75.1247484048681,"421010160007013"
40.0086263781952,-75.1009323018987,"421010190001003"
40.0118002541474,-75.1002977088698,"421010190004004"
40.0113751119756,-75.0975856061993,"421010190003013"
39.9354858582157,-75.1535543789845,"421010025004004"
40.0318197329218,-75.0932210350998,"421010390008006"
40.0328087399277,-75.0887271230856,"421010390004011"
40.0501935015887,-75.0917046270332,"421010306007013"
39.9298703040309,-75.1788144197691,"421010031004005"
39.9331311884917,-75.1814343775575,"421010032002000"
39.9957502345053,-75.1547385841579,"421010173002049"
40.0028754328687,-75.1711252644174,"421010171002002"
39.9253299694851,-75.1539173456448,"421010027012010"
40.0153211151753,-75.1711024910131,"421010205002017"
39.9251820648733,-75.2241492538345,"421010067006000"
39.925738820206,-75.2257372573899,"421010067005003"
39.923443606831,-75.2426649834959,"421010064003035"
39.9128835250537,-75.2389889084077,"421010060003005"
39.9161032447637,-75.2425540995773,"421010060004001"
39.9183020581535,-75.2307355105758,"421010062002004"
39.9273158560394,-75.1576939742081,"421010028012002"
40.0149130577805,-75.063122355465,"421010298002007"
40.0205990022919,-75.0528524542423,"421010323001000"
40.0202960831906,-75.0523501060066,"421010323001002"
40.0148581780702,-75.0623030090973,"421010321001008"
40.0175121093245,-75.0563649093717,"421010321002004"
40.0222613350287,-75.1151067102716,"421010289023006"
40.0232302009999,-75.130686701062,"421010287001011"
39.9275767708632,-75.1541739751961,"421010027013011"
40.005181212031,-75.1456500532542,"421010199004009"
39.9974851780281,-75.1003706970817,"421010188001008"
39.9551220105113,-75.2144539999732,"421010086012002"
39.9282135045632,-75.1774324056475,"421010037011003"
39.9262937639964,-75.1801232607227,"421010037013012"
39.9263834240837,-75.1808154418359,"421010037013012"
39.9957470017568,-75.1621371965585,"421010173002039"
39.9384567516056,-75.2231207428445,"421010071013004"
39.9372025430893,-75.2221613262571,"421010070002001"
39.9856779638024,-75.2393641483176,"421010118005006"
40.0442350020637,-75.0766048649029,"421010311011000"
40.0264079968946,-75.0615348307691,"421010320005002"
39.958294000108,-75.2442052104276,"421010083012002"
40.0247993666355,-75.0552397699347,"421010320006004"
39.9584519626152,-75.2399990927768,"421010083022018"
39.9537197299383,-75.2309567266262,"421010081025000"
40.0447010282736,-75.1244335829982,"421010274025001"
40.0414140630122,-75.1272156088653,"421010274011008"
40.0265587075991,-75.0778762865548,"421010302001002"
40.021533576271,-75.0702475194906,"421010300001002"
40.0307457061113,-75.0305558055804,"421010330004010"
40.0286896494253,-75.0368687769788,"421010326005005"
40.0459921251077,-75.1609891374733,"421010247004003"
39.9955728545315,-75.1538169829524,"421010174002010"
39.9913716616876,-75.131479955958,"421010176013014"
40.1078656552568,-74.9808742935669,"421010364001028"
39.9960454181404,-75.1266470334722,"421010176021016"
40.0289891937933,-75.1806502338439,"421010240002003"
40.0103866271611,-75.1545540604576,"421010201021004"
40.0114438186103,-75.1562494047536,"421010201023005"
40.0035233255224,-75.1577018842955,"421010173002000"
40.0168124098975,-75.1506436898558,"421010203002005"
39.9899982199567,-75.1578432921529,"421010167023018"
40.0392540396538,-75.1478010428534,"421010278003006"
40.0330413773408,-75.1941299647245,"421010235001014"
39.9737798965418,-75.2021709792371,"421010110004001"
39.9417519718181,-75.1688422934502,"421010014003018"
39.9515968711761,-75.2438705576415,"421010082005008"
39.9734443598589,-75.2303822935569,"421010112002001"
39.9372538287,-75.1906684735525,"421010033002048"
40.0380094961889,-75.1605398049714,"421010245003002"
40.0352470264859,-75.1643323136818,"421010245004000"
